time,open,low,close,volume
2014-01-02T08:00:00+08:00,115.1,114.8,118.0,2640320.0
2014-01-03T08:00:00+08:00,118.0,116.0,119.0,1374140.0
2014-01-06T08:00:00+08:00,119.0,117.0,119.4,2256210.0
2014-01-07T08:00:00+08:00,118.8,115.5,115.5,2859390.0
2014-01-08T08:00:00+08:00,115.6,115.6,118.7,1584650.0
2014-01-09T08:00:00+08:00,119.0,118.9,119.3,2644480.0
2014-01-10T08:00:00+08:00,118.9,116.6,117.0,2412350.0
2014-01-13T08:00:00+08:00,119.0,117.2,119.5,3491430.0
2014-01-14T08:00:00+08:00,119.5,119.0,119.5,2733870.0
2014-01-15T08:00:00+08:00,119.4,119.4,122.1,3288720.0
2014-01-16T08:00:00+08:00,122.7,122.0,122.1,1510100.0
2014-01-17T08:00:00+08:00,122.0,120.1,121.8,1733660.0
2014-01-20T08:00:00+08:00,121.8,121.8,122.5,623520.0
2014-01-21T08:00:00+08:00,122.9,122.0,122.4,1260950.0
2014-01-22T08:00:00+08:00,122.4,122.3,122.3,5065750.0
2014-01-23T08:00:00+08:00,122.0,121.5,121.9,1992620.0
2014-01-24T08:00:00+08:00,122.0,120.3,124.3,3351890.0
2014-01-27T08:00:00+08:00,123.5,120.1,122.6,1908360.0
2014-01-28T08:00:00+08:00,120.6,119.0,119.5,2534700.0
2014-01-29T08:00:00+08:00,119.5,119.5,120.4,1537110.0
2014-01-30T08:00:00+08:00,119.0,117.0,118.1,3741870.0
2014-02-03T08:00:00+08:00,117.8,115.0,117.0,2975390.0
2014-02-04T08:00:00+08:00,115.9,113.4,114.4,3577770.0
2014-02-05T08:00:00+08:00,114.0,114.0,116.0,3611210.0
2014-02-06T08:00:00+08:00,116.0,115.0,115.0,3003070.0
2014-02-07T08:00:00+08:00,116.9,116.3,117.8,1034750.0
2014-02-10T08:00:00+08:00,118.7,118.3,119.0,2798300.0
2014-02-11T08:00:00+08:00,120.0,118.9,120.2,1714030.0
2014-02-12T08:00:00+08:00,120.6,119.1,122.8,3536080.0
2014-02-13T08:00:00+08:00,123.1,123.0,123.0,2834610.0
2014-02-14T08:00:00+08:00,125.0,124.4,125.3,2928490.0
