time,open,low,close,volume
2014-01-02T08:00:00+08:00,15.44,15.44,15.5,1200300.0
2014-01-03T08:00:00+08:00,15.5,15.18,15.18,2486800.0
2014-01-06T08:00:00+08:00,15.2,15.16,15.18,3819300.0
2014-01-07T08:00:00+08:00,15.16,15.02,15.04,3612600.0
2014-01-08T08:00:00+08:00,15.02,15.0,15.02,1379900.0
2014-01-09T08:00:00+08:00,14.98,14.98,15.22,6526700.0
2014-01-10T08:00:00+08:00,15.22,14.88,15.02,2778200.0
2014-01-13T08:00:00+08:00,14.9,14.82,15.1,2694000.0
2014-01-14T08:00:00+08:00,15.1,15.1,15.32,22458100.0
2014-01-15T08:00:00+08:00,15.5,15.48,16.02,17858100.0
2014-01-16T08:00:00+08:00,16.06,16.06,16.78,14710300.0
2014-01-17T08:00:00+08:00,16.82,16.82,17.3,12002700.0
2014-01-20T08:00:00+08:00,17.3,17.1,17.16,5055100.0
2014-01-21T08:00:00+08:00,17.3,16.9,17.0,24166500.0
2014-01-22T08:00:00+08:00,17.0,16.94,17.1,6768400.0
2014-01-23T08:00:00+08:00,17.12,17.12,18.0,9689600.0
2014-01-24T08:00:00+08:00,17.98,17.78,17.94,7152100.0
2014-01-27T08:00:00+08:00,17.74,17.5,17.74,8416200.0
2014-01-28T08:00:00+08:00,17.74,17.3,17.94,13955200.0
2014-01-29T08:00:00+08:00,17.94,17.94,18.3,8438000.0
2014-01-30T08:00:00+08:00,18.28,17.8,18.4,11582000.0
2014-02-03T08:00:00+08:00,18.4,18.4,19.0,9792500.0
2014-02-04T08:00:00+08:00,18.6,18.58,19.0,4419800.0
2014-02-05T08:00:00+08:00,18.72,18.72,18.94,5522500.0
2014-02-06T08:00:00+08:00,18.82,18.82,19.5,10891400.0
2014-02-07T08:00:00+08:00,19.58,19.42,19.52,9079100.0
2014-02-10T08:00:00+08:00,19.52,18.96,19.02,11415600.0
2014-02-11T08:00:00+08:00,19.0,18.48,18.48,10872800.0
2014-02-12T08:00:00+08:00,18.58,17.7,17.82,7969400.0
2014-02-13T08:00:00+08:00,17.82,17.7,17.8,5972000.0
2014-02-14T08:00:00+08:00,18.02,17.94,17.94,1697200.0
2014-02-17T08:00:00+08:00,18.28,17.64,17.76,4423900.0
2014-02-18T08:00:00+08:00,17.8,17.64,17.64,8296600.0
2014-02-19T08:00:00+08:00,17.64,17.3,17.3,2776100.0
2014-02-20T08:00:00+08:00,17.48,17.44,17.5,4961600.0
2014-02-21T08:00:00+08:00,17.6,17.5,17.5,4442700.0
2014-02-24T08:00:00+08:00,17.54,17.24,17.26,3307500.0
2014-02-25T08:00:00+08:00,17.26,17.02,17.18,6849900.0
2014-02-26T08:00:00+08:00,17.2,17.12,17.38,4711800.0
2014-02-27T08:00:00+08:00,17.36,17.36,17.7,11116500.0
2014-02-28T08:00:00+08:00,17.8,17.66,17.72,5296000.0
