time,open,low,close,volume
2014-01-02T08:00:00+08:00,76.0,75.9,77.2,3022840.0
2014-01-03T08:00:00+08:00,76.5,76.0,77.4,2627550.0
2014-01-06T08:00:00+08:00,77.5,77.2,79.0,3412330.0
2014-01-07T08:00:00+08:00,79.0,78.2,78.4,4556870.0
2014-01-08T08:00:00+08:00,78.4,77.8,77.8,2335060.0
2014-01-09T08:00:00+08:00,77.75,73.9,73.9,6449830.0
2014-01-10T08:00:00+08:00,73.7,69.9,70.35,9389390.0
2014-01-13T08:00:00+08:00,71.75,71.5,73.75,4174780.0
2014-01-14T08:00:00+08:00,73.65,72.9,74.05,3430750.0
2014-01-15T08:00:00+08:00,74.2,73.75,74.0,2961020.0
2014-01-16T08:00:00+08:00,74.6,74.6,75.8,4371590.0
2014-01-17T08:00:00+08:00,75.9,74.5,76.4,1861460.0
2014-01-20T08:00:00+08:00,76.45,76.0,76.65,1539180.0
2014-01-21T08:00:00+08:00,76.8,76.8,77.4,2571470.0
2014-01-22T08:00:00+08:00,77.45,77.45,79.3,3624730.0
2014-01-23T08:00:00+08:00,79.45,79.2,79.8,6116530.0
2014-01-24T08:00:00+08:00,79.0,77.2,79.0,7560990.0
2014-01-27T08:00:00+08:00,78.0,75.1,76.8,4837770.0
2014-01-28T08:00:00+08:00,76.8,74.95,75.8,3761660.0
2014-01-29T08:00:00+08:00,76.0,75.5,76.2,3352440.0
2014-01-30T08:00:00+08:00,75.8,75.0,76.0,8709890.0
2014-02-03T08:00:00+08:00,76.05,75.4,75.8,1958430.0
2014-02-04T08:00:00+08:00,75.0,74.9,75.05,1574990.0
2014-02-05T08:00:00+08:00,76.0,75.0,75.05,2612280.0
2014-02-06T08:00:00+08:00,75.05,75.05,75.75,2300140.0
2014-02-07T08:00:00+08:00,76.05,76.05,76.8,3050210.0
2014-02-10T08:00:00+08:00,77.0,76.75,77.9,3383590.0
2014-02-11T08:00:00+08:00,77.8,77.3,78.9,2287220.0
2014-02-12T08:00:00+08:00,79.1,79.0,80.0,6255510.0
2014-02-13T08:00:00+08:00,80.0,79.4,79.55,4509800.0
2014-02-14T08:00:00+08:00,78.55,78.55,79.6,2736320.0
